iter	Logloss
0	0.6798120132
1	0.6677408213
2	0.6555688047
3	0.644220041
4	0.6306219708
5	0.6200710317
6	0.6102209051
7	0.600063826
8	0.5912233888
9	0.5824152274
10	0.5737444598
11	0.5660300454
12	0.55747265
13	0.5509803823
14	0.5448102795
15	0.5385221779
16	0.5323218351
17	0.5260961381
18	0.5214478798
19	0.5156945853
20	0.5105937636
21	0.5058105173
22	0.5017844548
23	0.4976738536
24	0.4934543219
25	0.4890836643
26	0.4850831411
27	0.4810469739
28	0.4779521324
29	0.4740203432
30	0.4706046693
31	0.4674778112
32	0.4643056857
33	0.4606577154
34	0.4586027665
35	0.4557923733
36	0.4531542036
37	0.4499832625
38	0.4477676752
39	0.4450089158
40	0.4427792634
41	0.4406784178
42	0.4382131009
43	0.4365312843
44	0.4343036677
45	0.4322855471
46	0.4304804759
47	0.428971216
48	0.4277456271
49	0.4259993332
50	0.4242627368
51	0.4225023777
52	0.420814306
53	0.4195420431
54	0.4181682524
55	0.4169783815
56	0.4155727222
57	0.4143234817
58	0.4128250668
59	0.4113587795
60	0.4098489645
61	0.4089274039
62	0.4075461365
63	0.4063528603
64	0.4051531438
65	0.4034909444
66	0.4025720489
67	0.4013693343
68	0.4003972874
69	0.3992758173
70	0.3983426346
71	0.3972432985
72	0.3960334403
73	0.3950251573
74	0.3943267878
75	0.3931836278
76	0.3920945815
77	0.3913975444
78	0.3904306795
79	0.3898472367
80	0.3885274856
81	0.3877935832
82	0.3867756767
83	0.3859845515
84	0.385352473
85	0.3847317947
86	0.3840612963
87	0.3832624723
88	0.3821746845
89	0.3815909826
90	0.3808918358
91	0.3800960099
92	0.3796462226
93	0.3787805154
94	0.3777298149
95	0.377041365
96	0.3757853881
97	0.3751395777
98	0.3741057924
99	0.3736041493
100	0.3728459661
101	0.3716890001
102	0.3712262581
103	0.3705582766
104	0.369661404
105	0.3691533576
106	0.3686634848
107	0.3678363455
108	0.3672734452
109	0.3664307603
110	0.3659997018
111	0.3654653388
112	0.3649226108
113	0.364129746
114	0.3635883875
115	0.3626556119
116	0.3620844946
117	0.361454896
118	0.3608368827
119	0.3601260766
120	0.3595253486
121	0.3587624276
122	0.3581827972
123	0.3576684585
124	0.3570834982
125	0.3567461577
126	0.3560833211
127	0.3555638005
128	0.3551446604
129	0.35461485
130	0.3540281501
131	0.3533046484
132	0.3527752452
133	0.3522271873
134	0.3517229162
135	0.3511821129
136	0.3505300472
137	0.3500395452
138	0.3496460923
139	0.3490357038
140	0.3484536675
141	0.3478678928
142	0.3472455859
143	0.3468680119
144	0.3463186955
145	0.3458973715
146	0.3454764177
147	0.3451090593
148	0.3444103567
149	0.3437047696
150	0.3432663824
151	0.3429090547
152	0.3423114728
153	0.3419283467
154	0.3414588683
155	0.3409275774
156	0.3404171622
157	0.339893274
158	0.3395172175
159	0.3390774238
160	0.3387359749
161	0.3381503113
162	0.3375508417
163	0.3369974908
164	0.3365676167
165	0.3361318946
166	0.3355557064
167	0.3352150718
168	0.3346961064
169	0.3343958164
170	0.3340646942
171	0.3336574353
172	0.3331416531
173	0.3328735648
174	0.3322692094
175	0.3318664662
176	0.3314156055
177	0.3308748022
178	0.3306197796
179	0.3302936172
180	0.3298570437
181	0.3293209041
182	0.3288781864
183	0.3282372247
184	0.3276750647
185	0.3272343087
186	0.3265651798
187	0.326163658
188	0.3259537918
189	0.3253258959
190	0.32474497
191	0.3243766493
192	0.324050598
193	0.3234994309
194	0.3231993259
195	0.3227817404
196	0.3222775433
197	0.3219840268
198	0.3215124756
199	0.3211682506
200	0.3206671627
201	0.3203272684
202	0.3200234621
203	0.3195478764
204	0.3191545346
205	0.3189037686
206	0.3184761524
207	0.3182230175
208	0.3179797652
209	0.3175663991
210	0.3171561792
211	0.3166595329
212	0.3162030462
213	0.3156969245
214	0.315196799
215	0.3149817509
216	0.3147481961
217	0.3143440094
218	0.3137526827
219	0.3131992578
220	0.3128648044
221	0.3125348667
222	0.312147521
223	0.3117163515
224	0.3111930926
225	0.310803082
226	0.3103264045
227	0.3095535454
228	0.3090257523
229	0.3086536748
230	0.3083275679
231	0.3078093798
232	0.3074281414
233	0.3067980061
234	0.3063051537
235	0.3059999039
236	0.305472703
237	0.3050137364
238	0.3046734904
239	0.3043073535
240	0.3039850035
241	0.3034001727
242	0.3030890748
243	0.3026868868
244	0.30241469
245	0.3020932653
246	0.3018563053
247	0.3015338072
248	0.3010861667
249	0.3007362046
250	0.3004683014
251	0.3001170069
252	0.2996473064
253	0.299045764
254	0.2987166961
255	0.2983806326
256	0.2980472525
257	0.2973990362
258	0.2970809057
259	0.2969691437
260	0.2965766717
261	0.2963959536
262	0.2958891841
263	0.2954620121
264	0.2952940821
265	0.2948746459
266	0.2945466143
267	0.2942533753
268	0.2937714974
269	0.2934578455
270	0.2929835924
271	0.2927662125
272	0.2924245785
273	0.2921871373
274	0.2918517215
275	0.291526577
276	0.2912500311
277	0.2909233875
278	0.290665774
279	0.2903746078
280	0.2898526073
281	0.2896447214
282	0.2893024581
283	0.2890329448
284	0.2886754135
285	0.2882294201
286	0.287905534
287	0.2875581259
288	0.2872720676
289	0.28690693
290	0.2863856513
291	0.2860697601
292	0.285732105
293	0.285324254
294	0.2851896731
295	0.2847987742
296	0.2846022329
297	0.2844444261
298	0.2841476894
299	0.283840885
300	0.2835779971
301	0.2831657784
302	0.2828328426
303	0.2824913751
304	0.2821023454
305	0.2819696522
306	0.2814654182
307	0.2812270147
308	0.2808593417
309	0.2805795756
310	0.280266516
311	0.2801483136
312	0.2799589713
313	0.279540553
314	0.2793375898
315	0.2788725715
316	0.2785625099
317	0.2782441574
318	0.2780413422
319	0.2776112276
320	0.2772092987
321	0.2769908639
322	0.2766617219
323	0.2763191811
324	0.2758904174
325	0.2756875838
326	0.2755000922
327	0.275100088
328	0.274814918
329	0.2743697574
330	0.274109775
331	0.2739117161
332	0.2735514644
333	0.2733458732
334	0.2731353408
335	0.2726858682
336	0.2725158654
337	0.2722891211
338	0.271907161
339	0.2716317255
340	0.271250117
341	0.2708484842
342	0.2706061942
343	0.2702216986
344	0.2697169464
345	0.2694506532
346	0.2691876543
347	0.2689055379
348	0.2683538896
349	0.2680573009
350	0.2676852604
351	0.2674941415
352	0.2671565049
353	0.2669247823
354	0.2668241613
355	0.26661944
356	0.2661831256
357	0.265771055
358	0.2654876431
359	0.2651272433
360	0.2647901619
361	0.2645187979
362	0.2641749246
363	0.2638690826
364	0.2636672298
365	0.2632799027
366	0.2630222892
367	0.2625994477
368	0.2622766905
369	0.2619858945
370	0.2614593969
371	0.2611921228
372	0.2609918986
373	0.2604631432
374	0.2600774447
375	0.2597073659
376	0.2592922602
377	0.2589800518
378	0.2586034031
379	0.2583806007
380	0.2580431307
381	0.2577538707
382	0.2575229439
383	0.257249211
384	0.2568403051
385	0.2563966435
386	0.2561648099
387	0.2559837401
388	0.2557719863
389	0.2552986955
390	0.255065992
391	0.2548099145
392	0.2545450464
393	0.2542579332
394	0.2538943872
395	0.2537278452
396	0.2534114914
397	0.2532549061
398	0.2529135867
399	0.2524417579
400	0.2522203435
401	0.2517569908
402	0.2515224367
403	0.2513211576
404	0.2511477681
405	0.2508991119
406	0.2507436369
407	0.2503369518
408	0.2501041558
409	0.2497242129
410	0.2491713802
411	0.2488520098
412	0.2486028168
413	0.2483409282
414	0.2480278871
415	0.2477522666
416	0.2474891565
417	0.2472737569
418	0.2471425997
419	0.2468643327
420	0.2466966248
421	0.2461471974
422	0.2458789055
423	0.2455435083
424	0.2452460313
425	0.2446210594
426	0.244217798
427	0.2440154641
428	0.2438126489
429	0.2432704761
430	0.2430034612
431	0.2422235511
432	0.2416434025
433	0.2409942608
434	0.2407361662
435	0.2405211181
436	0.2403841499
437	0.240140583
438	0.2398091276
439	0.2396595563
440	0.2390585507
441	0.2384927633
442	0.2382466795
443	0.2379398936
444	0.2372967296
445	0.2367712869
446	0.2362972558
447	0.2358158961
448	0.2356814447
449	0.2352353773
450	0.2346399422
451	0.233997648
452	0.2334442231
453	0.2332390947
454	0.2328531185
455	0.2326978287
456	0.2325423167
457	0.2323375584
458	0.2318056383
459	0.2316019163
460	0.2313578868
461	0.231182332
462	0.2309993561
463	0.2306064215
464	0.2301611128
465	0.2300025843
466	0.229903925
467	0.2294571913
468	0.2290122343
469	0.2286874044
470	0.2284932689
471	0.228342143
472	0.2280778301
473	0.2279843156
474	0.2276857097
475	0.2275508143
476	0.2273916935
477	0.2271692983
478	0.2268376579
479	0.2267342053
480	0.2266315301
481	0.226163162
482	0.2258523232
483	0.2255038047
484	0.2253533821
485	0.2251920405
486	0.2249849874
487	0.2246374867
488	0.224486879
489	0.2243731553
490	0.224222455
491	0.2241226853
492	0.2236486357
493	0.2233578212
494	0.2229542082
495	0.2225956405
496	0.222412498
497	0.2219733336
498	0.2217695191
499	0.2213875775
500	0.2212833846
501	0.22107226
502	0.2208457008
503	0.2201982617
504	0.2198267209
505	0.2196625107
506	0.2193788953
