iter	Passed	Remaining
0	64	64276
1	67	33623
2	70	23294
3	72	18136
4	76	15184
5	79	13122
6	81	11621
7	84	10507
8	87	9631
9	90	8940
10	93	8375
11	95	7896
12	98	7504
13	101	7164
14	104	6862
15	107	6601
16	110	6362
17	112	6154
18	115	5971
19	118	5799
20	120	5638
21	123	5498
22	126	5375
23	128	5238
24	131	5127
25	133	5009
26	136	4901
27	138	4815
28	141	4730
29	144	4666
30	147	4601
31	149	4534
32	152	4467
33	155	4404
34	157	4339
35	159	4282
36	162	4227
37	164	4173
38	167	4123
39	169	4077
40	172	4032
41	175	3992
42	177	3948
43	179	3905
44	182	3867
45	185	3851
46	188	3828
47	191	3795
48	194	3766
49	207	3939
50	211	3927
51	213	3892
52	216	3859
53	220	3856
54	222	3826
55	227	3837
56	237	3921
57	241	3914
58	248	3956
59	251	3941
60	255	3928
61	259	3924
62	263	3918
63	266	3902
64	270	3886
65	273	3874
66	277	3857
67	280	3842
68	283	3824
69	287	3823
70	291	3809
71	294	3794
72	297	3776
73	300	3758
74	303	3740
75	306	3723
76	310	3716
77	315	3729
78	318	3718
79	322	3703
80	325	3690
81	328	3678
82	332	3671
83	335	3660
84	339	3657
85	342	3642
86	345	3622
87	348	3610
88	350	3591
89	353	3573
90	355	3555
91	359	3545
92	362	3534
93	365	3522
94	368	3511
95	371	3500
96	374	3488
97	378	3484
98	403	3671
99	408	3673
100	413	3676
101	422	3723
102	427	3719
103	429	3702
104	433	3691
105	438	3694
106	441	3680
107	444	3669
108	446	3651
109	449	3640
110	452	3624
111	455	3608
112	457	3593
113	461	3584
114	465	3580
115	467	3564
116	470	3551
117	473	3536
118	476	3525
119	479	3514
120	483	3509
121	486	3502
122	489	3488
123	491	3474
124	494	3464
125	498	3454
126	501	3444
127	504	3434
128	506	3421
129	509	3409
130	511	3396
131	514	3383
132	517	3370
133	520	3361
134	522	3350
135	526	3342
136	529	3333
137	531	3322
138	534	3312
139	537	3303
140	540	3291
141	543	3283
142	546	3273
143	549	3264
144	551	3254
145	555	3246
146	558	3239
147	561	3230
148	564	3223
149	566	3212
150	569	3202
151	572	3193
152	600	3324
153	605	3328
154	614	3351
155	617	3340
156	627	3369
157	633	3375
158	638	3376
159	644	3381
160	647	3372
161	650	3365
162	653	3355
163	656	3348
164	661	3345
165	664	3340
166	667	3331
167	670	3320
168	673	3312
169	676	3301
170	678	3290
171	681	3281
172	684	3272
173	687	3261
174	690	3255
175	693	3248
176	696	3239
177	699	3229
178	701	3219
179	704	3210
180	707	3200
181	710	3192
182	713	3184
183	716	3178
184	719	3168
185	721	3159
186	724	3149
187	727	3142
188	730	3134
189	733	3127
190	736	3119
191	739	3110
192	742	3103
193	745	3096
194	749	3095
195	752	3086
196	755	3080
197	758	3072
198	761	3066
199	764	3059
200	768	3055
201	778	3075
202	785	3085
203	790	3085
204	795	3085
205	798	3076
206	802	3072
207	806	3072
208	809	3063
209	812	3056
210	815	3049
211	819	3044
212	822	3038
213	825	3030
214	828	3024
215	831	3016
216	834	3009
217	837	3003
218	840	2995
219	842	2988
220	846	2982
221	849	2975
222	851	2967
223	854	2960
224	857	2952
225	859	2944
226	862	2937
227	865	2930
228	868	2924
229	871	2918
230	875	2913
231	877	2905
232	880	2897
233	883	2890
234	886	2884
235	889	2879
236	891	2871
237	895	2865
238	897	2858
239	900	2851
240	902	2843
241	906	2837
242	908	2830
243	911	2824
244	913	2816
245	916	2808
246	926	2824
247	929	2817
248	932	2812
249	935	2805
250	938	2799
251	940	2792
252	943	2786
253	946	2780
254	949	2773
255	952	2766
256	954	2760
257	957	2754
258	960	2748
259	964	2744
260	981	2779
261	985	2775
262	988	2769
263	990	2761
264	993	2756
265	997	2752
266	1000	2746
267	1002	2739
268	1005	2732
269	1008	2725
270	1010	2719
271	1013	2712
272	1016	2706
273	1019	2700
274	1022	2694
275	1024	2687
276	1027	2681
277	1029	2674
278	1033	2670
279	1039	2671
280	1043	2669
281	1046	2664
282	1050	2660
283	1053	2656
284	1057	2653
285	1061	2649
286	1066	2648
287	1069	2645
288	1074	2644
289	1078	2641
290	1082	2638
291	1095	2655
292	1112	2684
293	1116	2681
294	1120	2676
295	1123	2672
296	1127	2668
297	1129	2661
298	1132	2656
299	1136	2651
300	1138	2644
301	1141	2637
302	1144	2632
303	1147	2626
304	1150	2621
305	1155	2621
306	1181	2666
307	1204	2706
308	1208	2703
309	1212	2699
310	1217	2696
311	1223	2698
312	1229	2698
313	1233	2694
314	1237	2691
315	1241	2688
316	1245	2684
317	1250	2680
318	1253	2675
319	1255	2668
320	1259	2663
321	1262	2657
322	1265	2652
323	1268	2645
324	1272	2642
325	1276	2638
326	1280	2634
327	1284	2631
328	1288	2627
329	1292	2624
330	1296	2620
331	1299	2614
332	1302	2608
333	1305	2603
334	1308	2597
335	1311	2592
336	1314	2585
337	1317	2579
338	1320	2573
339	1322	2567
340	1325	2561
341	1327	2554
342	1330	2548
343	1333	2542
344	1335	2536
345	1338	2529
346	1341	2523
347	1343	2517
348	1346	2512
349	1351	2509
350	1354	2504
351	1357	2498
352	1360	2493
353	1363	2488
354	1366	2483
355	1369	2476
356	1371	2470
357	1388	2490
358	1393	2488
359	1397	2483
360	1399	2477
361	1405	2477
362	1412	2478
363	1414	2472
364	1418	2467
365	1422	2464
366	1426	2460
367	1429	2454
368	1433	2451
369	1438	2449
370	1444	2449
371	1468	2478
372	1477	2483
373	1481	2479
374	1485	2476
375	1490	2473
376	1496	2472
377	1501	2470
378	1505	2466
379	1513	2470
380	1518	2467
381	1524	2466
382	1531	2466
383	1535	2463
384	1538	2457
385	1541	2452
386	1545	2447
387	1547	2441
388	1552	2439
389	1555	2433
390	1558	2426
391	1560	2420
392	1563	2415
393	1567	2411
394	1570	2405
395	1573	2400
396	1576	2394
397	1579	2388
398	1585	2388
399	1589	2384
400	1592	2378
401	1595	2373
402	1599	2368
403	1606	2369
404	1613	2371
405	1621	2372
406	1624	2366
407	1627	2361
408	1631	2356
409	1634	2351
410	1637	2346
411	1640	2340
412	1644	2337
413	1646	2331
414	1650	2326
415	1653	2321
416	1656	2316
417	1660	2311
418	1662	2305
419	1666	2300
420	1668	2294
421	1672	2290
422	1676	2286
423	1679	2281
424	1682	2276
425	1685	2271
426	1688	2266
427	1692	2261
428	1695	2256
429	1698	2251
430	1701	2246
431	1705	2242
432	1708	2237
433	1712	2233
434	1715	2228
435	1718	2223
436	1722	2219
437	1726	2214
438	1728	2209
439	1732	2204
440	1735	2199
441	1739	2195
442	1742	2191
443	1745	2185
444	1748	2181
445	1755	2180
446	1763	2181
447	1767	2177
448	1770	2173
449	1775	2170
450	1779	2166
451	1785	2165
452	1790	2162
453	1796	2160
454	1801	2157
455	1804	2152
456	1808	2148
457	1810	2143
458	1815	2139
459	1818	2134
460	1821	2129
461	1824	2124
462	1828	2120
463	1831	2115
464	1834	2110
465	1837	2105
466	1841	2101
467	1846	2098
468	1849	2093
469	1853	2089
470	1856	2085
471	1859	2080
472	1862	2075
473	1865	2069
474	1868	2064
475	1870	2059
476	1873	2053
477	1876	2049
478	1879	2043
479	1881	2038
480	1884	2033
481	1887	2028
482	1889	2022
483	1893	2018
484	1895	2013
485	1898	2007
486	1900	2002
487	1903	1996
488	1906	1991
489	1908	1986
490	1911	1981
491	1913	1976
492	1916	1970
493	1919	1965
494	1921	1960
495	1924	1955
496	1927	1950
497	1929	1945
498	1932	1940
499	1935	1935
500	1937	1929
501	1939	1924
502	1942	1919
503	1945	1914
504	1948	1909
505	1951	1905
506	1954	1900
507	1957	1895
508	1960	1890
509	1963	1886
510	1966	1882
511	1969	1877
512	1971	1872
513	1974	1867
514	1977	1862
515	1981	1858
516	1984	1853
517	1987	1849
518	1990	1844
519	1993	1839
520	1995	1834
521	1998	1829
522	2000	1824
523	2003	1820
524	2006	1815
525	2009	1810
526	2012	1805
527	2014	1801
528	2017	1796
529	2020	1791
530	2023	1786
531	2025	1781
532	2028	1776
533	2030	1771
534	2033	1767
535	2035	1762
536	2038	1757
537	2040	1752
538	2042	1747
539	2045	1742
540	2048	1738
541	2051	1733
542	2054	1729
543	2057	1724
544	2060	1720
545	2062	1715
546	2065	1710
547	2068	1706
548	2070	1701
549	2073	1696
550	2076	1692
551	2080	1688
552	2084	1684
553	2087	1680
554	2090	1675
555	2092	1671
556	2096	1667
557	2099	1662
558	2102	1658
559	2105	1654
560	2108	1649
561	2111	1645
562	2115	1642
563	2120	1639
564	2123	1635
565	2128	1632
566	2134	1629
567	2136	1625
568	2140	1621
569	2142	1616
570	2146	1612
571	2150	1608
572	2153	1604
573	2158	1601
574	2162	1598
575	2165	1594
576	2168	1589
577	2171	1585
578	2176	1582
579	2181	1579
580	2187	1577
581	2194	1576
582	2200	1574
583	2203	1569
584	2208	1566
585	2212	1563
586	2216	1559
587	2222	1557
588	2225	1553
589	2229	1549
590	2232	1545
591	2235	1540
592	2239	1536
593	2242	1532
594	2245	1528
595	2248	1523
596	2251	1519
597	2253	1515
598	2256	1510
599	2259	1506
600	2262	1502
601	2265	1497
602	2268	1493
603	2270	1488
604	2272	1483
605	2275	1479
606	2278	1474
607	2280	1470
608	2283	1466
609	2285	1461
610	2287	1456
